ID,City,Year,Month,Day,Criminal,Type,Arrest,Description
1,Neverland,4333,10,2,-,killing,False,killed 3 robots
2,Trier,4319,3,14,Kookler,theft,True,robbed a fund to help robots without a master
3,Trier,4330,4,4,Ztztz-7,undermining,False,explosion in the building of the museum of corruption
4,Everland,4334,12,2,-,killing,False,killed 2 robots
5,D city,4332,1,13,Batler,corruption,True,got a bribe: a frisbee plate
6,Everland,4322,12,5,-,theft,False,car theft
7,Everland,4323,10,13,Kookler,theft,True,car theft
8,Everland,4324,12,23,Pookler,corruption,False,got rubber boots
9,Neverland,4333,1,3,Batler,corruption,True,got a blade holder
10,D city,4330,1,5,Ztztz-7,undermining,True,explotion in a bus for anti-corruption
11,Trier,4335,1,2,-,killing,False,killed 1 robot
12,D city,4334,2,4,Batler,corruption,True,got a plate gun
13,Neverland,4335,2,2,-,killing,False,killed police robot
14,Neverland,4335,1,5,-,killing,False,Mysterios murder by blades, holded to frisbee plate. A plate was found sticking out of the wall. Apparently, it was fired from some kind of gun.
15,D city,4335,3,-,Niko,undermining,True,Explosion in main robots building.. That was scary. Who is this Niko?
16,Trier,4333,2,10,-,corruption,False,got two pairs of socks
17,D city,4322,1,14,V-6-V,killing,True,kill a master - artificial intelligence
18,Trier,4318,12,23,Parker,undermining,False,Nichogo rasskazovat
19,Neverland,4334,4,4,-,theft,False,car theft
20,Everland,4314,10,10,Boober,killing,True,killed president of Everland...
21,Everland,4315,1,2,Wopper,illegal resurrection,True,illegal resurrection of president of Everland...
22,Overland,4319,3,4,Goody,corruption,True,got 1000 kh boiled potato
23,D city,4321,4,4,Biper,corruption,True,got 100$
24,D city,4331,4,2,Wooper,theft,True,miss theft
25,Overland,4319,3,7,Mr Sweet,undermining,False,undermine the Overland`s jail. All criminals died